账号名称,	分类
中关村人工智能研究院,	舆情监控
北京中关村学院,	舆情监控
AI商学院,	舆情监控
上海创智学院,	舆情监控
深圳河套学院,	舆情监控
TsinghuaNLP,	高校资讯
清软小研,	高校资讯
清华大学电子工程系,	高校资讯
清华大学交叉信息研究院,	高校资讯
清华大学自动化系,	高校资讯
NISL实验室,	高校资讯
清华大学高等研究院,	高校资讯
清华大学智能产业研究院,	高校资讯
清华大学未来实验室,	高校资讯
清华大学丘成桐数学科学中心,	高校资讯
清华生命学院,	高校资讯
清华SIGS数据与信息研究院,	高校资讯
清华大学研究生教育,	高校资讯
清华大学小研在线,	高校资讯
清华大学人工智能国际治理研究院,	高校资讯
清华国际,	高校资讯
创新清华,	高校资讯
清华大学人工智能学院,	高校资讯
北京大学人工智能研究院,	高校资讯
北京大学王选计算机研究所,	高校资讯
北京大学人工智能研究院,	高校资讯
北京大学智能学院,	高校资讯
北京大学集成电路学院,	高校资讯
北京大学软件与微电子学院,	高校资讯
北京大学前沿计算研究中心,	高校资讯
北京大学数学科学学院/北京国际数学研究中心BICMR,	高校资讯
北京大学信息工程学院,	高校资讯
北大工学,	高校资讯
上海交通大学计算机学院/上海交通大学人工智能学院,	高校资讯
iGEM SJTU software,	高校资讯
上海交通大学网络信息中心,	高校资讯
上海交通大学清源研究院,	高校资讯
智能机器人与先进制造创新学院,	高校资讯
复旦大学计算与智能创新学院,	高校资讯
NJUAI研会,	高校资讯
南京大学智能软件与工程学院,	高校资讯
南京大学人工智能学院,	高校资讯
南京大学智能科学与技术学院,	高校资讯
鹿鸣观山海,	高校资讯
USTC CS,	高校资讯
中国科大人工智能与数据科学学院,	高校资讯
蜗壳网小安,	高校资讯
浙江大学计算机学院浙江大学人工智能学院,	高校资讯
浙大网安,	高校资讯
浙江大学软件学院,	高校资讯
中国科学院自动化研究所,	高校资讯
中国科学院计算技术研究所,	高校资讯
中国科学院软件研究所,	高校资讯
中国人民大学信息学院,	高校资讯
人大高瓴人工智能学院,	高校资讯
北航人工智能学院,	高校资讯
北京师范大学人工智能学院,	高校资讯
海外独角兽,	前沿认知
数字生命卡兹克,	前沿认知
赛博禅心,	前沿认知
Z potentials,	前沿认知
42章经,	前沿认知
Founder Park,	前沿认知
Datewhale,	前沿认知
梓豪谈芯,	前沿认知
傅里叶的猫,	前沿认知
web3天空之城,	前沿认知
瓜哥AI新知,	前沿认知
语言即世界language is world,	前沿认知
具身纪元,	前沿认知
Xbotics具身智能实验室,	前沿认知
具身智能之心,	前沿认知
Paper Agent,	前沿认知
Human Five,	前沿认知
青稞 AI,	前沿认知
机器之心,	前沿认知
量子位,	前沿认知
ScienceAI,	前沿认知
AI寒武纪,	前沿认知
DeepTech深科技,	前沿认知
AGI hunt,	前沿认知
夕小瑶科技说,	前沿认知
APPSO,	前沿认知
硅星人Pro,	前沿认知
