matchId,round,format,stage,group,date,time,homeTeam,awayTeam,homeFlag,awayFlag,allowDraw
wc2026-ko-r32-03,101,knockout,1/16决赛,,2026-06-29,03:00,南非,加拿大,🇿🇦,🇨🇦,false
wc2026-ko-r32-09,101,knockout,1/16决赛,,2026-06-30,01:00,巴西,日本,🇧🇷,🇯🇵,false
wc2026-ko-r32-01,101,knockout,1/16决赛,,2026-06-30,04:30,德国,巴拉圭,🇩🇪,🇵🇾,false
wc2026-ko-r32-04,101,knockout,1/16决赛,,2026-06-30,09:00,荷兰,摩洛哥,🇳🇱,🇲🇦,false
wc2026-ko-r32-10,101,knockout,1/16决赛,,2026-07-01,01:00,科特迪瓦,挪威,🇨🇮,🇳🇴,false
wc2026-ko-r32-02,101,knockout,1/16决赛,,2026-07-01,05:00,法国,瑞典,🇫🇷,🇸🇪,false
wc2026-ko-r32-11,101,knockout,1/16决赛,,2026-07-01,09:00,墨西哥,厄瓜多尔,🇲🇽,🇪🇨,false
wc2026-ko-r32-12,101,knockout,1/16决赛,,2026-07-02,00:00,英格兰,民主刚果,🏴,🇨🇩,false
wc2026-ko-r32-08,101,knockout,1/16决赛,,2026-07-02,04:00,比利时,塞内加尔,🇧🇪,🇸🇳,false
wc2026-ko-r32-07,101,knockout,1/16决赛,,2026-07-02,08:00,美国,波黑,🇺🇸,🇧🇦,false
wc2026-ko-r32-06,101,knockout,1/16决赛,,2026-07-03,03:00,西班牙,奥地利,🇪🇸,🇦🇹,false
wc2026-ko-r32-05,101,knockout,1/16决赛,,2026-07-03,07:00,葡萄牙,克罗地亚,🇵🇹,🇭🇷,false
wc2026-ko-r32-15,101,knockout,1/16决赛,,2026-07-03,11:00,瑞士,阿尔及利亚,🇨🇭,🇩🇿,false
wc2026-ko-r32-14,101,knockout,1/16决赛,,2026-07-04,02:00,澳大利亚,埃及,🇦🇺,🇪🇬,false
wc2026-ko-r32-13,101,knockout,1/16决赛,,2026-07-04,06:00,阿根廷,佛得角,🇦🇷,🇨🇻,false
wc2026-ko-r32-16,101,knockout,1/16决赛,,2026-07-04,09:30,哥伦比亚,加纳,🇨🇴,🇬🇭,false
