matchId,round,format,stage,group,date,time,homeTeam,awayTeam,homeFlag,awayFlag
wc2026-g-a-r1-1,1,group,小组赛,A,2026-06-12,03:00,墨西哥,南非,🇲🇽,🇿🇦
wc2026-g-a-r1-2,1,group,小组赛,A,2026-06-12,10:00,韩国,捷克,🇰🇷,🇨🇿
wc2026-g-b-r1-1,1,group,小组赛,B,2026-06-13,03:00,加拿大,波黑,🇨🇦,🇧🇦
wc2026-g-d-r1-1,1,group,小组赛,D,2026-06-13,09:00,美国,巴拉圭,🇺🇸,🇵🇾
wc2026-g-b-r1-2,1,group,小组赛,B,2026-06-14,03:00,卡塔尔,瑞士,🇶🇦,🇨🇭
wc2026-g-c-r1-1,1,group,小组赛,C,2026-06-14,06:00,巴西,摩洛哥,🇧🇷,🇲🇦
wc2026-g-c-r1-2,1,group,小组赛,C,2026-06-14,09:00,海地,苏格兰,🇭🇹,🏴
wc2026-g-d-r1-2,1,group,小组赛,D,2026-06-14,12:00,澳大利亚,土耳其,🇦🇺,🇹🇷
wc2026-g-e-r1-1,1,group,小组赛,E,2026-06-15,01:00,德国,塞尔维亚,🇩🇪,🇷🇸
wc2026-g-f-r1-1,1,group,小组赛,F,2026-06-15,04:00,荷兰,日本,🇳🇱,🇯🇵
wc2026-g-e-r1-2,1,group,小组赛,E,2026-06-15,07:00,科特迪瓦,哥斯达黎加,🇨🇮,🇨🇷
wc2026-g-f-r1-2,1,group,小组赛,F,2026-06-15,10:00,瑞典,突尼斯,🇸🇪,🇹🇳
wc2026-g-h-r1-1,1,group,小组赛,H,2026-06-16,00:00,西班牙,佛得角,🇪🇸,🇨🇻
wc2026-g-g-r1-1,1,group,小组赛,G,2026-06-16,03:00,比利时,埃及,🇧🇪,🇪🇬
wc2026-g-h-r1-2,1,group,小组赛,H,2026-06-16,06:00,沙特,乌拉圭,🇸🇦,🇺🇾
wc2026-g-g-r1-2,1,group,小组赛,G,2026-06-16,09:00,伊朗,新西兰,🇮🇷,🇳🇿
wc2026-g-i-r1-1,1,group,小组赛,I,2026-06-17,03:00,法国,塞内加尔,🇫🇷,🇸🇳
wc2026-g-i-r1-2,1,group,小组赛,I,2026-06-17,06:00,意大利,挪威,🇮🇹,🇳🇴
wc2026-g-j-r1-1,1,group,小组赛,J,2026-06-17,09:00,阿根廷,阿尔及利亚,🇦🇷,🇩🇿
wc2026-g-j-r1-2,1,group,小组赛,J,2026-06-17,12:00,奥地利,约旦,🇦🇹,🇯🇴
wc2026-g-k-r1-1,1,group,小组赛,K,2026-06-18,01:00,葡萄牙,民主刚果,🇵🇹,🇨🇩
wc2026-g-l-r1-1,1,group,小组赛,L,2026-06-18,04:00,英格兰,克罗地亚,🏴,🇭🇷
wc2026-g-l-r1-2,1,group,小组赛,L,2026-06-18,07:00,加纳,巴拿马,🇬🇭,🇵🇦
wc2026-g-k-r1-2,1,group,小组赛,K,2026-06-18,10:00,乌兹别克斯坦,哥伦比亚,🇺🇿,🇨🇴
wc2026-g-a-r2-1,2,group,小组赛,A,2026-06-19,00:00,捷克,南非,🇨🇿,🇿🇦
wc2026-g-b-r2-1,2,group,小组赛,B,2026-06-19,03:00,瑞士,波黑,🇨🇭,🇧🇦
wc2026-g-b-r2-2,2,group,小组赛,B,2026-06-19,06:00,加拿大,卡塔尔,🇨🇦,🇶🇦
wc2026-g-a-r2-2,2,group,小组赛,A,2026-06-19,09:00,墨西哥,韩国,🇲🇽,🇰🇷
wc2026-g-d-r2-1,2,group,小组赛,D,2026-06-20,03:00,美国,澳大利亚,🇺🇸,🇦🇺
wc2026-g-c-r2-1,2,group,小组赛,C,2026-06-20,06:00,苏格兰,摩洛哥,🏴,🇲🇦
wc2026-g-c-r2-2,2,group,小组赛,C,2026-06-20,09:00,巴西,海地,🇧🇷,🇭🇹
wc2026-g-d-r2-2,2,group,小组赛,D,2026-06-20,12:00,土耳其,巴拉圭,🇹🇷,🇵🇾
wc2026-g-f-r2-1,2,group,小组赛,F,2026-06-21,01:00,荷兰,瑞典,🇳🇱,🇸🇪
wc2026-g-e-r2-1,2,group,小组赛,E,2026-06-21,04:00,德国,科特迪瓦,🇩🇪,🇨🇮
wc2026-g-e-r2-2,2,group,小组赛,E,2026-06-21,08:00,哥斯达黎加,塞尔维亚,🇨🇷,🇷🇸
wc2026-g-f-r2-2,2,group,小组赛,F,2026-06-21,12:00,突尼斯,日本,🇹🇳,🇯🇵
wc2026-g-h-r2-1,2,group,小组赛,H,2026-06-22,00:00,西班牙,沙特,🇪🇸,🇸🇦
wc2026-g-g-r2-1,2,group,小组赛,G,2026-06-22,03:00,比利时,伊朗,🇧🇪,🇮🇷
wc2026-g-h-r2-2,2,group,小组赛,H,2026-06-22,06:00,乌拉圭,佛得角,🇺🇾,🇨🇻
wc2026-g-g-r2-2,2,group,小组赛,G,2026-06-22,09:00,新西兰,埃及,🇳🇿,🇪🇬
