matchId,round,stage,homeScore,awayScore,winner,decidedBy,source,sourceUrl,status,note
wc2026-ko-r32-01,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-02,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-03,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-04,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-05,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-06,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-07,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-08,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-09,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-10,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-11,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-12,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-13,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-14,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-15,101,1/16决赛,,,,,manual,,finished,
wc2026-ko-r32-16,101,1/16决赛,,,,,manual,,finished,
